MaterialDefinition,MaterialClass,LotNumber,Quantity,Unit,Transaction Date,Manufacturer
Mark 86,Iron Man,MK86_01,1,EA,2024-10-12T02:49:21Z,Stark Industries
Mark 86,Iron Man,MK86_02,1,EA,2024-10-12T02:49:21Z,Stark Industries
Mark 86,Iron Man,MK86_03,1,EA,2024-10-12T02:49:21Z,Stark Industries
Mark 86,Iron Man,MK86_04,1,EA,2024-10-12T02:49:21Z,Stark Industries
Mark 86,Iron Man,MK86_05,1,EA,2024-10-12T02:49:21Z,Stark Industries
Mark 86,Iron Man,MK86_06,1,EA,2024-10-12T02:49:21Z,Stark Industries
Mark 86,Iron Man,MK86_07,1,EA,2024-10-12T02:49:21Z,Stark Industries
AI_Chip_Jarvis_01,AI Chip,AIC_J_01_001,1,EA,2024-07-23T16:53:00Z,Stark Industries NY
AI_Chip_Jarvis_01,AI Chip,AIC_J_01_002,1,EA,2024-09-05T02:49:21Z,Stark Industries West
AI_Chip_Jarvis_01,AI Chip,AIC_J_01_003,1,EA,2024-08-16T21:09:27Z,Stark Industries East
AI_Chip_Jarvis_01,AI Chip,AIC_J_01_004,1,EA,2024-10-14T03:59:55Z,Stark Industries NY
AI_Chip_Jarvis_01,AI Chip,AIC_J_01_005,1,EA,2024-09-24T09:13:05Z,Stark Industries West
AI_Chip_Jarvis_01,AI Chip,AIC_J_01_006,1,EA,2024-08-19T05:38:19Z,Stark Industries East
AI_Chip_Jarvis_01,AI Chip,AIC_J_01_007,1,EA,2024-07-05T14:12:48Z,Stark Industries NY
AI_Chip_Jarvis_02,AI Chip,AIC_J_02_001,1,EA,2024-09-13T09:10:58Z,Stark Industries West
AI_Chip_Jarvis_02,AI Chip,AIC_J_02_002,1,EA,2024-09-15T21:24:45Z,Stark Industries East
AI_Chip_Jarvis_02,AI Chip,AIC_J_02_003,1,EA,2024-09-19T02:29:55Z,Stark Industries NY
AI_Chip_Jarvis_02,AI Chip,AIC_J_02_004,1,EA,2024-07-24T00:50:03Z,Stark Industries West
AI_Chip_Jarvis_02,AI Chip,AIC_J_02_005,1,EA,2024-09-21T07:34:23Z,Stark Industries East
AI_Chip_Jarvis_02,AI Chip,AIC_J_02_006,1,EA,2024-10-01T09:56:05Z,Stark Industries NY
AI_Chip_Jarvis_02,AI Chip,AIC_J_02_007,1,EA,2024-10-17T09:16:51Z,Stark Industries West
AI_Chip_Jarvis_02,AI Chip,AIC_J_02_008,1,EA,2024-09-27T08:19:37Z,Stark Industries East
AI_Chip_Jarvis_02,AI Chip,AIC_J_02_009,1,EA,2024-10-28T16:08:16Z,Stark Industries NY
AI_Chip_Jarvis_02,AI Chip,AIC_J_02_010,1,EA,2024-10-19T18:49:07Z,Stark Industries West
AI_Chip_Jarvis_02,AI Chip,AIC_J_02_011,1,EA,2024-08-06T12:19:37Z,Stark Industries East
AI_Chip_Jarvis_02,AI Chip,AIC_J_02_012,1,EA,2024-08-20T07:21:50Z,Stark Industries NY
AI_Chip_Jarvis_02,AI Chip,AIC_J_02_013,1,EA,2024-07-16T13:00:23Z,Stark Industries West
AI_Chip_Jarvis_02,AI Chip,AIC_J_02_014,1,EA,2024-07-19T05:06:28Z,Stark Industries East
